hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"Kepler-257","Kepler-257 b",3,2.38266700000,0.0340000000,2.61000000,1.31000000,-1.31000000,7.32000000,,,"M-R relationship",2.260000,343.6000,0.916000,5180.00,"Transit"
"HD 212301","HD 212301 b",1,2.24571000000,0.0300000000,14.20000000,,,162.09330000,12.71320000,-12.71320000,"Msini",0.311000,1944.4444,1.550000,6239.00,"Radial Velocity"
"K2-189","K2-189 b",2,2.58812000000,0.0361000000,1.40300000,0.07900000,-0.04300000,2.55000000,,,"M-R relationship",5.070000,497.0000,0.850000,5442.00,"Transit"
"WASP-126","WASP-126 b",2,3.28883000000,0.0449000000,10.51358773,0.51853716,-0.51853716,90.30000000,,,"Mass",0.410000,759.3374,1.120000,5800.00,"Transit"
"Kepler-1091","Kepler-1091 b",1,1.43474156400,0.0252000000,1.46000000,0.36000000,-0.19000000,2.73000000,,,"M-R relationship",4.820000,1740.8580,1.010000,5851.00,"Transit"
"TOI-1294","TOI-1294 b",2,3.91529200000,0.0510000000,10.12369881,0.23643767,-0.22090361,63.90000000,4.70000000,-4.50000000,"Mass",0.340000,311.4980,1.157800,5718.00,"Transit"
"Kepler-1680","Kepler-1680 b",1,8.77424000000,0.0764200000,1.35954736,,,2.42000000,,,"M-R relationship",5.290000,49.0000,0.834000,5021.00,"Transit"
"HD 13724","HD 13724 c",1,142.22895000000,0.5340000000,8.18000000,,,50.85254512,7.94571018,-6.67439655,"Msini",0.511000,3.9773,1.004000,5835.31,"Radial Velocity"
"Kepler-318","Kepler-318 b",2,4.66271500000,0.0560000000,4.71000000,0.83000000,-0.83000000,19.90000000,,,"M-R relationship",1.050000,333.1490,1.073000,5746.00,"Transit"
"Kepler-1513","Kepler-1513 b",2,160.88420000000,0.5697100000,8.59400000,0.03600000,-0.02200000,48.30991786,33.05415433,-19.38753283,"Mass",1.304000,2.2300,0.943000,5491.00,"Transit"
