surface,species,dE_star,n_sites
Ag9Ga3,C1H2,-189.7278943469355,9
Ag9Ga3,C1H3,-207.4748929127818,9
Ag9Ga3,H1,-16.09107973323262,13
Ag9Ga3,H1N1,-292.7114754002105,6
Ag9Ga3,H1S1,-349.21652380416344,9
Ag9Ga3,H2O1,-476.78174942919577,9
Ag9Ga3,N1,-274.8621774054627,12
Ag9Ga3,O1,-442.8807431722453,10
Ag9Ga3,S1,-333.031950517965,11
Ag9Hf3,C1,-155.73143667795375,2
Ag9Hf3,H1,-16.756108811729064,2
Ag9Hf3,N1,-277.16571479289996,2
Ag9Hf3,O1,-445.64896514419524,2
Ag9Hf3,S1,-334.8210138354989,2
Ag9Hg3,C1,-153.3329990450584,5
Ag9Hg3,H1,-16.066168527635455,5
Ag9Hg3,N1,-273.6145297408293,5
Ag9Hg3,O1,-441.6967399412315,5
Ag9Hg3,S1,-332.66087459058326,5
Ag9Ir3,C1,-156.8844830141752,5
Ag9Ir3,C1H1,-173.97759433869942,9
Ag9Ir3,C1H2,-191.1400404053711,8
Ag9Ir3,C1H3,-208.1908939473724,7
Ag9Ir3,H1,-17.007551114467788,5
Ag9Ir3,H1N1,-293.288340547384,9
Ag9Ir3,H1O1,-460.1611266419641,18
Ag9Ir3,H1S1,-350.22518313617184,9
Ag9Ir3,H2O1,-476.8909152426422,9
Ag9Ir3,N1,-276.4888389663174,5
Ag9Ir3,O1,-443.1428104319275,5
Ag9Ir3,S1,-333.96579813654535,5
Ag9La3,C1,-156.23554797260294,7
Ag9La3,H1,-16.418174717204238,9
Ag9La3,N1,-277.3958196971362,7
Ag9La3,O1,-444.7365157415552,9
Ag9La3,S1,-334.12348075896443,7
Ag9Mo3,C1,-157.25657896028133,9
Ag9Mo3,H1,-16.891628442288493,9
Ag9Mo3,N1,-278.41695000637264,9
Ag9Mo3,O1,-445.7825329021798,9
Ag9Mo3,S1,-334.906566018195,9
Ag9Nb3,C1,-156.63953742934245,9
Ag9Nb3,H1,-16.830259424597898,9
Ag9Nb3,N1,-278.05976793947775,9
